,0
rm,37.22076213481315
b,10.875665324460904
indus,4.974703319540668
rad,4.674418150450897
zn,3.6172091064576675
age,1.4416506088207997
nox,-2.859999267841056
tax,-4.782942383332912
ptratio,-5.20291808465733
dis,-5.315611864174306
crim,-10.980808237886535
lstat,-13.470485833350088
